departamento;municipio;circuito;establecimiento;mesa;electores;paso_saenz;paso_fdt_leavy;paso_fdt_isa;paso_olmedo;paso_fit_villegas;paso_fit_gil;paso_fit_lopez;paso_fernandez;grales_saenz;grales_fdt_leavy;grales_olmedo;grales_fit_lopez;grales_fernandez
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1001;332;123;13;8;35;2;0;9;1;139;19;31;13;2
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1002;332;119;27;16;33;4;3;6;4;155;31;31;7;4
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1003;331;128;22;13;38;1;3;2;1;140;30;37;7;2
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1004;330;104;35;14;42;0;1;4;4;134;28;32;4;3
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1005;331;111;26;16;42;1;3;10;6;127;30;34;15;8
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1006;331;123;26;13;45;1;1;5;1;144;19;46;10;1
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1007;331;117;18;8;41;0;2;7;5;137;25;32;6;6
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1008;331;114;24;12;43;0;6;7;2;146;22;33;8;5
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1009;331;123;30;19;33;0;4;1;2;148;32;28;6;7
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1010;331;116;22;17;33;1;4;4;3;156;25;29;5;3
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1011;331;127;16;10;50;0;3;3;4;153;20;35;9;6
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1012;331;103;22;17;34;3;2;7;6;141;25;28;11;7
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1013;330;134;18;11;38;1;3;2;6;153;17;36;5;8
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1014;330;113;23;17;46;1;3;5;1;142;24;44;3;2
CAPITAL;SALTA;1A;ESCUELA Nº 4022 DR. BENJAMIN ZORRILLA;1015;330;129;18;9;32;1;2;1;2;170;16;26;5;3
