departamento;municipio;circuito;establecimiento;mesa;electores
GUACHIPAS;GUACHIPAS;64A;ESCUELA Nº 4378 LA BODEGUITA;3772;19
R. DE LA FRONTERA;R. DE LA FRONTERA;67F;ESCUELA Nº 4509 JUAN FRANCISCO SALINAS;3844;21
STA. VICTORIA;NAZARENO;51E;ESCUELA Nº 4222 JUANA MANSO;3572;26
IRUYA;IRUYA;46K;ESCUELA Nº 4114 YAPEYU CUNA DEL GRAL. SAN MARTIN;3527;46
IRUYA;IRUYA;46C;ESCUELA Nº 4443 SAN JUAN BAUTISTA;3518;53
R. DE LA FRONTERA;R. DE LA FRONTERA;68B;ESCUELA Nº 4412;3848;59
R. DE LERMA;CAMPO QUIJANO;97D;ESCUELA Nº 4474;4097;67
R. DE LERMA;CAMPO QUIJANO;95A;ESCUELA Nº 4631 VIRREY FRANCISCO DE TOLEDO;4092;68
STA. VICTORIA;S. V. OESTE;49C;ESCUELA Nº 4207 CNEL. DE MAR. BENITO JOSE GOYENA;3544;70
STA. VICTORIA;S. V. OESTE;49B;ESCUELA Nº 4282 NTRA. SRA. DEL ROS. DE SAN NICOLAS;3543;75
R. DE LA FRONTERA;R. DE LA FRONTERA;67G;ESCUELA Nº 4102 CARMEN SALAS;3845;75
METAN;METAN;15B;ESCUELA Nº 4082 GENERAL MANUEL BELGRANO;2510;77
R. DE LA FRONTERA;EL POTRERO;72B;ESCUELA Nº 4593;3859;78
GUACHIPAS;GUACHIPAS;64B;ESCUELA Nº 4368 JORGE MARIO BERGOGLIO;3773;79
R. DE LERMA;CAMPO QUIJANO;98A;ESCUELA Nº 4619 CNEL. SEVERO GARCIA DE SEQUEIRA;4098;80
ANTA;APOLINARIO SARAVIA;22B;ESCUELA Nº 4499;2592;82
R. DE LA FRONTERA;EL POTRERO;70A;ESCUELA Nº 4130 BATALLA DE SALTA;3851;83
GUACHIPAS;GUACHIPAS;65A;ESCUELA Nº 4377;3774;83
ORAN;COL. STA. ROSA;34B;ESCUELA Nº 4491;3055;83
MOLINOS;MOLINOS;88B;ESCUELA Nº 4585;3962;84
CAFAYATE;CAFAYATE;77C;ESCUELA Nº 4427 JOSEFA FRIAS DE ARAMBURU;3911;85
R. DE LA FRONTERA;R. DE LA FRONTERA;68A;ESCUELA Nº 4103 DR. LUIS GÜEMES;3847;85
